loan_id,business_id,credit_officer_id,dismissal_description,acquisition_channel,sector,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,approval_status,paid_late,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd
933864,656168,279289,,Friend,Hospitality,300000.0,354600.0,1,1,1,,Approved,false,354600.0,354600.0,54600.0
962138,656168,279289,,Friend,Hospitality,330000.0,380000.0,2,2,2,,Approved,false,380000.0,380000.0,50000.0
579569,418816,,,Facebook,Manufacturing,230000.0,,1,1,,0,Expired,false,,,
698939,418816,137994,,Facebook,Manufacturing,230000.0,271400.0,2,1,1,0,Approved,false,271400.0,271400.0,41400.0
735058,418816,137994,,Facebook,Manufacturing,200000.0,236000.0,3,2,2,0,Approved,false,236000.0,236000.0,36000.0
768004,418816,131449,,Facebook,Manufacturing,250000.0,295500.0,4,3,3,0,Approved,false,295500.0,295500.0,45500.0
800781,418816,131449,,Facebook,Manufacturing,306100.0,349300.0,5,4,4,0,Approved,false,349300.0,349300.0,43200.0
830953,418816,131449,,Facebook,Manufacturing,300000.0,342400.0,6,5,5,0,Approved,false,342400.0,342400.0,42400.0
866705,418816,131449,,Facebook,Manufacturing,250000.0,285300.0,7,6,6,0,Approved,false,285300.0,285300.0,35300.0
896024,418816,131449,,Facebook,Manufacturing,300000.0,342400.0,8,7,7,0,Approved,false,342400.0,342400.0,42400.0
923977,418816,131449,,Facebook,Manufacturing,448100.0,511500.0,9,8,8,0,Approved,false,511500.0,511500.0,63400.0
953386,418816,131449,,Facebook,Manufacturing,350000.0,399500.0,10,9,9,0,Approved,false,399500.0,399500.0,49500.0
256990,221924,131450,,Google,Stationary Printing,216000.0,253200.0,1,1,1,2,Approved,false,253200.0,253200.0,37200.0
301019,221924,131450,,Google,Stationary Printing,237600.0,278500.0,2,2,2,2,Approved,false,278500.0,278500.0,40900.0
334244,221924,131450,,Google,Stationary Printing,261400.0,306300.0,3,3,3,2,Approved,false,306300.0,306300.0,44900.0
365246,221924,131450,,Google,Stationary Printing,287500.0,337000.0,4,4,4,2,Approved,false,337000.0,337000.0,49500.0
399046,221924,131450,Client travelling away from business,Google,Stationary Printing,280000.0,,5,5,,2,Cancelled,false,,,
405954,221924,131450,,Google,Stationary Printing,280000.0,328200.0,6,5,5,2,Approved,false,328200.0,328200.0,48200.0
442970,221924,131450,,Google,Stationary Printing,100000.0,117200.0,7,6,6,2,Approved,false,117200.0,117200.0,17200.0
448298,221924,131450,,Google,Stationary Printing,300000.0,336400.0,8,7,7,2,Approved,false,336400.0,336400.0,36400.0
484633,221924,131450,,Google,Stationary Printing,300000.0,336400.0,9,8,8,2,Approved,false,336400.0,336400.0,36400.0
518588,221924,131450,,Google,Stationary Printing,426100.0,481200.0,10,9,9,2,Approved,false,481200.0,481200.0,55100.0
550485,221924,131450,,Google,Stationary Printing,450000.0,508100.0,11,10,10,2,Approved,false,508100.0,508100.0,58100.0
583786,221924,131450,,Google,Stationary Printing,100000.0,112900.0,12,11,11,2,Approved,false,112900.0,112900.0,12900.0
621986,221924,131450,,Google,Stationary Printing,250000.0,282300.0,13,12,12,2,Approved,false,282300.0,282300.0,32300.0
661750,221924,131450,,Google,Stationary Printing,350000.0,395200.0,14,13,13,2,Approved,false,395200.0,395200.0,45200.0
692519,221924,131450,,Google,Stationary Printing,400000.0,451700.0,15,14,14,2,Approved,false,451700.0,451700.0,51700.0
726763,221924,131450,,Google,Stationary Printing,350000.0,395200.0,16,15,15,2,Approved,false,395200.0,395200.0,45200.0
759089,221924,131450,,Google,Stationary Printing,400000.0,451700.0,17,16,16,2,Approved,false,451700.0,451700.0,51700.0
804373,221924,131450,,Google,Stationary Printing,500000.0,565600.0,18,17,17,2,Approved,false,565600.0,565600.0,65600.0
849268,221924,131450,,Google,Stationary Printing,400000.0,452500.0,19,18,18,2,Approved,false,452500.0,452500.0,52500.0
883556,221924,131450,,Google,Stationary Printing,400000.0,452500.0,20,19,19,2,Approved,false,452500.0,452500.0,52500.0
923424,221924,131450,,Google,Stationary Printing,700000.0,791700.0,21,20,20,2,Approved,false,791700.0,791700.0,91700.0
954198,221924,131450,,Google,Stationary Printing,100000.0,113100.0,22,21,21,2,Approved,false,113100.0,113100.0,13100.0
959771,221924,131450,,Google,Stationary Printing,920000.0,1040100.0,23,22,22,2,Approved,false,1040100.0,1040100.0,120100.0
256990,221924,131450,,Google,Stationary Printing,216000.0,253200.0,1,1,1,2,Approved,false,253200.0,253200.0,37200.0
301019,221924,131450,,Google,Stationary Printing,237600.0,278500.0,2,2,2,2,Approved,false,278500.0,278500.0,40900.0
334244,221924,131450,,Google,Stationary Printing,261400.0,306300.0,3,3,3,2,Approved,false,306300.0,306300.0,44900.0
365246,221924,131450,,Google,Stationary Printing,287500.0,337000.0,4,4,4,2,Approved,false,337000.0,337000.0,49500.0
399046,221924,131450,Client travelling away from business,Google,Stationary Printing,280000.0,,5,5,,2,Cancelled,false,,,
405954,221924,131450,,Google,Stationary Printing,280000.0,328200.0,6,5,5,2,Approved,false,328200.0,328200.0,48200.0
442970,221924,131450,,Google,Stationary Printing,100000.0,117200.0,7,6,6,2,Approved,false,117200.0,117200.0,17200.0
448298,221924,131450,,Google,Stationary Printing,300000.0,336400.0,8,7,7,2,Approved,false,336400.0,336400.0,36400.0
484633,221924,131450,,Google,Stationary Printing,300000.0,336400.0,9,8,8,2,Approved,false,336400.0,336400.0,36400.0
518588,221924,131450,,Google,Stationary Printing,426100.0,481200.0,10,9,9,2,Approved,false,481200.0,481200.0,55100.0
550485,221924,131450,,Google,Stationary Printing,450000.0,508100.0,11,10,10,2,Approved,false,508100.0,508100.0,58100.0
583786,221924,131450,,Google,Stationary Printing,100000.0,112900.0,12,11,11,2,Approved,false,112900.0,112900.0,12900.0
621986,221924,131450,,Google,Stationary Printing,250000.0,282300.0,13,12,12,2,Approved,false,282300.0,282300.0,32300.0
661750,221924,131450,,Google,Stationary Printing,350000.0,395200.0,14,13,13,2,Approved,false,395200.0,395200.0,45200.0
692519,221924,131450,,Google,Stationary Printing,400000.0,451700.0,15,14,14,2,Approved,false,451700.0,451700.0,51700.0
726763,221924,131450,,Google,Stationary Printing,350000.0,395200.0,16,15,15,2,Approved,false,395200.0,395200.0,45200.0
759089,221924,131450,,Google,Stationary Printing,400000.0,451700.0,17,16,16,2,Approved,false,451700.0,451700.0,51700.0
804373,221924,131450,,Google,Stationary Printing,500000.0,565600.0,18,17,17,2,Approved,false,565600.0,565600.0,65600.0
849268,221924,131450,,Google,Stationary Printing,400000.0,452500.0,19,18,18,2,Approved,false,452500.0,452500.0,52500.0
883556,221924,131450,,Google,Stationary Printing,400000.0,452500.0,20,19,19,2,Approved,false,452500.0,452500.0,52500.0
923424,221924,131450,,Google,Stationary Printing,700000.0,791700.0,21,20,20,2,Approved,false,791700.0,791700.0,91700.0
954198,221924,131450,,Google,Stationary Printing,100000.0,113100.0,22,21,21,2,Approved,false,113100.0,113100.0,13100.0
959771,221924,131450,,Google,Stationary Printing,920000.0,1040100.0,23,22,22,2,Approved,false,1040100.0,1040100.0,120100.0
992142,221924,131450,,Google,Stationary Printing,700000.0,791700.0,24,23,23,2,Approved,false,791700.0,791700.0,91700.0
614150,439263,309549,,Friend,Phones Electronics,260000.0,290900.0,1,1,1,3,Approved,false,290900.0,290900.0,30900.0
643232,439263,309549,,Friend,Phones Electronics,280000.0,313300.0,2,2,2,3,Approved,false,313300.0,313300.0,33300.0
669443,439263,309549,,Friend,Phones Electronics,300000.0,335700.0,3,3,3,3,Approved,false,335700.0,335700.0,35700.0
703165,439263,309549,,Friend,Phones Electronics,270000.0,302100.0,4,4,4,3,Approved,false,302100.0,302100.0,32100.0
733096,439263,309549,,Friend,Phones Electronics,280000.0,313300.0,5,5,5,3,Approved,false,313300.0,313300.0,33300.0
758781,439263,295227,,Friend,Phones Electronics,300000.0,335700.0,6,6,6,3,Approved,false,335700.0,335700.0,35700.0
788914,439263,295227,,Friend,Phones Electronics,300000.0,336300.0,7,7,7,3,Approved,false,336300.0,336300.0,36300.0
818520,439263,295227,,Friend,Phones Electronics,300000.0,336300.0,8,8,8,3,Approved,false,336300.0,336300.0,36300.0
849393,439263,295227,,Friend,Phones Electronics,300000.0,336300.0,9,9,9,3,Approved,false,336300.0,336300.0,36300.0
879540,439263,295227,,Friend,Phones Electronics,320000.0,358700.0,10,10,10,3,Approved,false,358700.0,358700.0,38700.0
906441,439263,295227,,Friend,Phones Electronics,380000.0,426000.0,11,11,11,3,Approved,false,426000.0,426000.0,46000.0
936188,439263,295227,,Friend,Phones Electronics,400000.0,460600.0,12,12,12,3,Approved,false,460600.0,460600.0,60600.0
963176,439263,295227,,Friend,Phones Electronics,400000.0,460600.0,13,13,13,3,Approved,false,460600.0,460600.0,60600.0
924988,649930,131450,,Friend,Food Staple Goods,276000.0,317800.0,1,1,1,,Approved,false,317800.0,317800.0,41800.0
955577,649930,131450,,Friend,Food Staple Goods,303600.0,349600.0,2,2,2,,Approved,false,349600.0,349600.0,46000.0
732881,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,230000.0,257400.0,1,1,1,3,Approved,false,257400.0,257400.0,27400.0
767918,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,253000.0,283600.0,2,2,2,3,Approved,false,283600.0,283600.0,30600.0
790412,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,274000.0,307100.0,3,3,3,3,Approved,false,307100.0,307100.0,33100.0
825191,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,301400.0,337800.0,4,4,4,3,Approved,false,337800.0,337800.0,36400.0
858304,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,331500.0,371600.0,5,5,5,3,Approved,false,371600.0,371600.0,40100.0
901388,512735,395019,,Radio / TV / Newspaper,Beauty Fashion,364600.0,408800.0,6,6,6,3,Approved,true,0,408800.0,44200.0
933331,512735,137987,,Radio / TV / Newspaper,Beauty Fashion,401100.0,457800.0,7,7,7,3,Approved,false,457800.0,457800.0,56700.0
965152,512735,137987,,Radio / TV / Newspaper,Beauty Fashion,401100.0,457800.0,8,8,8,3,Approved,false,457800.0,457800.0,56700.0
730897,511494,245779,,Friend,Mobile Money Airtime,200000.0,223800.0,1,1,1,1,Approved,false,223800.0,223800.0,23800.0
759110,511494,245779,,Friend,Mobile Money Airtime,219500.0,245700.0,2,2,2,1,Approved,false,245700.0,245700.0,26200.0
788559,511494,245779,,Friend,Mobile Money Airtime,241400.0,270600.0,3,3,3,1,Approved,false,270600.0,270600.0,29200.0
935454,511494,245779,,Friend,Mobile Money Airtime,265500.0,297700.0,4,4,4,1,Approved,false,297700.0,297700.0,32200.0
971001,511494,245779,,Friend,Mobile Money Airtime,292000.0,327400.0,5,5,5,1,Approved,false,327400.0,327400.0,35400.0
705749,494191,320434,,Friend,Beauty Fashion,300000.0,335700.0,1,1,1,1,Approved,false,335700.0,335700.0,35700.0
734836,494191,320434,,Friend,Beauty Fashion,330000.0,369300.0,2,2,2,1,Approved,false,369300.0,369300.0,39300.0
768746,494191,279289,,Friend,Beauty Fashion,363000.0,406900.0,3,3,3,1,Approved,false,406900.0,406900.0,43900.0
799639,494191,279289,,Friend,Beauty Fashion,390000.0,437200.0,4,4,4,1,Approved,false,437200.0,437200.0,47200.0
835271,494191,279289,,Friend,Beauty Fashion,400000.0,448400.0,5,5,5,1,Approved,false,448400.0,448400.0,48400.0
869012,494191,279289,,Friend,Beauty Fashion,480000.0,538200.0,6,6,6,1,Approved,false,538200.0,538200.0,58200.0
899511,494191,279289,,Friend,Beauty Fashion,530000.0,594200.0,7,7,7,1,Approved,false,594200.0,594200.0,64200.0
927878,494191,279289,,Friend,Beauty Fashion,584500.0,655200.0,8,8,8,1,Approved,false,655200.0,655200.0,70700.0
958804,494191,279289,,Friend,Beauty Fashion,640000.0,717500.0,9,9,9,1,Approved,false,717500.0,717500.0,77500.0
440182,337433,137994,,Friend,Mobile Money Airtime,345600.0,384100.0,1,1,1,3,Approved,false,384100.0,384100.0,38500.0
506398,337433,137994,,Friend,Mobile Money Airtime,380200.0,422500.0,2,2,2,3,Approved,false,422500.0,422500.0,42300.0
534257,337433,137994,,Friend,Mobile Money Airtime,418200.0,468000.0,3,3,3,3,Approved,false,468000.0,468000.0,49800.0
565140,337433,137994,,Friend,Mobile Money Airtime,460000.0,514800.0,4,4,4,3,Approved,false,514800.0,514800.0,54800.0
594041,337433,137994,,Friend,Mobile Money Airtime,506000.0,566200.0,5,5,5,3,Approved,false,566200.0,566200.0,60200.0
625231,337433,137994,,Friend,Mobile Money Airtime,556600.0,622900.0,6,6,6,3,Approved,false,622900.0,622900.0,66300.0
658542,337433,137994,,Friend,Mobile Money Airtime,612300.0,685200.0,7,7,7,3,Approved,false,685200.0,685200.0,72900.0
689602,337433,137994,,Friend,Mobile Money Airtime,673500.0,753700.0,8,8,8,3,Approved,false,753700.0,753700.0,80200.0
719595,337433,137994,,Friend,Mobile Money Airtime,740800.0,828800.0,9,9,9,3,Approved,false,828800.0,828800.0,88000.0
752543,337433,60425,,Friend,Mobile Money Airtime,814900.0,911500.0,10,10,10,3,Approved,false,911500.0,911500.0,96600.0
793018,337433,60425,,Friend,Mobile Money Airtime,855600.0,958700.0,11,11,11,3,Approved,false,958700.0,958700.0,103100.0
827234,337433,60425,,Friend,Mobile Money Airtime,898400.0,1006500.0,12,12,12,3,Approved,false,1006500.0,1006500.0,108100.0
860346,337433,60425,,Friend,Mobile Money Airtime,943300.0,1056800.0,13,13,13,3,Approved,false,1056800.0,1056800.0,113500.0
908060,337433,60425,,Friend,Mobile Money Airtime,1000000.0,1120300.0,14,14,14,3,Approved,false,1120300.0,1120300.0,120300.0
939580,337433,60425,,Friend,Mobile Money Airtime,1100000.0,1243300.0,15,15,15,3,Approved,false,1243300.0,1243300.0,143300.0
974224,337433,60425,,Friend,Mobile Money Airtime,1210000.0,1367500.0,16,16,16,3,Approved,false,1367500.0,1367500.0,157500.0
553017,112376,245781,,Other,Food Staple Goods,200000.0,223800.0,1,1,1,0,Approved,false,223800.0,223800.0,23800.0
582883,112376,245781,,Other,Food Staple Goods,246100.0,275400.0,2,2,2,0,Approved,false,275400.0,275400.0,29300.0
616603,112376,245781,,Other,Food Staple Goods,305100.0,341400.0,3,3,3,0,Approved,false,341400.0,341400.0,36300.0
648721,112376,245781,,Other,Food Staple Goods,376700.0,421600.0,4,4,4,0,Approved,false,421600.0,421600.0,44900.0
681327,112376,245781,,Other,Food Staple Goods,414400.0,463700.0,5,5,5,0,Approved,false,463700.0,463700.0,49300.0
711663,112376,245781,,Other,Food Staple Goods,414400.0,463700.0,6,6,6,0,Approved,false,463700.0,463700.0,49300.0
745755,112376,245781,,Other,Food Staple Goods,455800.0,510100.0,7,7,7,0,Approved,false,510100.0,510100.0,54300.0
778156,112376,245781,,Other,Food Staple Goods,455800.0,511000.0,8,8,8,0,Approved,false,511000.0,511000.0,55200.0
812294,112376,245781,,Other,Food Staple Goods,501400.0,562100.0,9,9,9,0,Approved,false,562100.0,562100.0,60700.0
844892,112376,245781,,Other,Food Staple Goods,551500.0,618300.0,10,10,10,0,Approved,false,618300.0,618300.0,66800.0
878406,112376,245781,,Other,Food Staple Goods,606600.0,680100.0,11,11,11,0,Approved,false,680100.0,680100.0,73500.0
905634,112376,245781,,Other,Food Staple Goods,667300.0,748100.0,12,12,12,0,Approved,false,748100.0,748100.0,80800.0
934923,112376,245781,,Other,Food Staple Goods,734000.0,822700.0,13,13,13,0,Approved,false,822700.0,822700.0,88700.0
965590,112376,245781,,Other,Food Staple Goods,734000.0,822700.0,14,14,14,0,Approved,false,822700.0,822700.0,88700.0
690593,485453,201649,,Google,Beauty Fashion,250000.0,279800.0,1,1,1,2,Approved,false,279800.0,279800.0,29800.0
702792,485453,201649,,Google,Beauty Fashion,272100.0,304500.0,2,2,2,2,Approved,false,304500.0,304500.0,32400.0
714473,485453,201649,,Google,Beauty Fashion,355500.0,397900.0,3,3,3,2,Approved,false,397900.0,397900.0,42400.0
735953,485453,201649,,Google,Beauty Fashion,511700.0,572600.0,4,4,4,2,Approved,false,572600.0,572600.0,60900.0
760172,485453,201649,,Google,Beauty Fashion,300000.0,335700.0,5,5,5,2,Approved,false,335700.0,335700.0,35700.0
786394,485453,201649,,Google,Beauty Fashion,500000.0,560500.0,6,6,6,2,Approved,false,560500.0,560500.0,60500.0
815770,485453,201649,,Google,Beauty Fashion,834500.0,935100.0,7,7,7,2,Approved,false,935100.0,935100.0,100600.0
850372,485453,201649,,Google,Beauty Fashion,918000.0,1028500.0,8,8,8,2,Approved,false,1028500.0,1028500.0,110500.0
943623,485453,201649,,Google,Beauty Fashion,300000.0,336300.0,9,9,9,2,Approved,false,336300.0,336300.0,36300.0
690593,485453,201649,,Google,Beauty Fashion,250000.0,279800.0,1,1,1,2,Approved,false,279800.0,279800.0,29800.0
702792,485453,201649,,Google,Beauty Fashion,272100.0,304500.0,2,2,2,2,Approved,false,304500.0,304500.0,32400.0
714473,485453,201649,,Google,Beauty Fashion,355500.0,397900.0,3,3,3,2,Approved,false,397900.0,397900.0,42400.0
